augmentation,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Noise,0.9501023292541504,0.9667773842811584,0.9667434096336365,1.0,0.9335887432098389,0.933486819267273,0.9501915574073792,0.9169222712516785,0.9501661062240601,0.9501150846481323,0.9518094062805176
Scaling,0.9833844304084778,0.9833929538726807,0.9335718154907227,0.9833844304084778,0.9667943716049194,0.9833759665489197,0.9833887219429016,0.9833887219429016,0.9667689204216003,0.9833929538726807,0.9750843048095703
Magnitude Warp,0.9833887219429016,0.9501661062240601,0.9833887219429016,0.9833844304084778,0.9833929538726807,0.9833844304084778,0.9335208535194397,1.0,0.9501661062240601,1.0,0.9750792384147644
Random Sampling,0.9169222712516785,0.9667603969573975,0.9833844304084778,0.9335378408432007,0.9501915574073792,0.9667859077453613,0.9502043128013611,0.9833844304084778,1.0,0.9501661062240601,0.9601336717605591
Flip,0.9667859077453613,0.9667859077453613,0.9833929538726807,0.9667773842811584,0.9501661062240601,0.9667943716049194,0.9667603969573975,0.9668028354644775,0.9833801984786987,0.9667943716049194,0.9684439897537231
Drop,0.9335378408432007,0.9169435501098633,0.9833929538726807,0.9833887219429016,0.933486819267273,0.9833759665489197,0.9667859077453613,1.0,0.9501533508300781,0.9335718154907227,0.9584636688232422
TimeWarp,0.9667689204216003,0.9667603969573975,0.9335208535194397,0.9668028354644775,0.9833929538726807,0.9833929538726807,0.9667773842811584,0.9667603969573975,0.9501661062240601,1.0,0.96843421459198
Negation,0.9833929538726807,0.9335038661956787,0.9335718154907227,0.9833929538726807,0.9667943716049194,0.950178861618042,0.9667603969573975,0.9667773842811584,1.0,0.9667519330978394,0.9651125073432922
Channel shuffle,0.9833929538726807,0.9667689204216003,0.9833929538726807,1.0,0.9502043128013611,0.9667519330978394,0.9833887219429016,1.0,0.9667689204216003,0.9502170085906982,0.9750885963439941
Permutations,0.9667859077453613,0.9501533508300781,0.9833887219429016,0.9667603969573975,0.9336395859718323,0.9667773842811584,0.9335038661956787,0.9335548281669617,0.9667519330978394,0.9833844304084778,0.9584699869155884
all,0.950140655040741,0.9833929538726807,0.9667603969573975,0.9501661062240601,0.9667773842811584,1.0,0.9667773842811584,0.9667689204216003,0.9502043128013611,0.9667519330978394,0.9667739868164062
